accuracy	precision_macro	recall_macro	f1_macro	f1_weighted	roc_auc	seed	experiment	feature_set	domain
0.3344947735191638	0.22308573513017246	0.33449477351916374	0.26605012423476637	0.2660501242347664		18	multiclass_domain	reading_time	student_essays
0.35656213704994194	0.23722678824964505	0.35656213704994194	0.2834848858459999	0.28348488584599996		19	multiclass_domain	reading_time	student_essays
0.33991482771970577	0.2269161791759541	0.33991482771970577	0.27119925989504184	0.2711992598950419		20	multiclass_domain	reading_time	student_essays
0.34727061556329847	0.2319510098405089	0.3472706155632985	0.2773250464496996	0.2773250464496996		21	multiclass_domain	reading_time	student_essays
0.34068912117692607	0.22708036480786112	0.34068912117692607	0.27200294824737864	0.27200294824737864		22	multiclass_domain	reading_time	student_essays
0.34533488192024775	0.22958983532932317	0.34533488192024775	0.27497015450275647	0.27497015450275647		23	multiclass_domain	reading_time	student_essays
0.3515292295780101	0.23429754400166117	0.3515292295780101	0.2800690829187533	0.2800690829187533		24	multiclass_domain	reading_time	student_essays
0.3302361595044522	0.21965891642904145	0.33023615950445223	0.2628116124001525	0.26281161240015244		25	multiclass_domain	reading_time	student_essays
0.34688346883468835	0.23100485206606783	0.3468834688346883	0.2764309949787164	0.27643099497871637		26	multiclass_domain	reading_time	student_essays
0.3457220286488579	0.23097324152131252	0.34572202864885787	0.27605148750703146	0.2760514875070315		27	multiclass_domain	reading_time	student_essays
0.3383662408052652	0.22527596686585016	0.3383662408052652	0.2699738159724732	0.2699738159724732		28	multiclass_domain	reading_time	student_essays
0.3422377080913666	0.22862444329468098	0.3422377080913666	0.2731273294859336	0.27312732948593366		29	multiclass_domain	reading_time	student_essays
0.3430120015485869	0.22921223388743073	0.3430120015485869	0.27391848202768737	0.27391848202768737		30	multiclass_domain	reading_time	student_essays
0.34959349593495936	0.23297843507815819	0.34959349593495936	0.2784099055066797	0.2784099055066797		31	multiclass_domain	reading_time	student_essays
0.35578784359272164	0.23719895484297307	0.3557878435927216	0.28366539442025146	0.2836653944202515		32	multiclass_domain	reading_time	student_essays
0.34494773519163763	0.23062091941021215	0.3449477351916377	0.2741913357432267	0.2741913357432266		33	multiclass_domain	reading_time	student_essays
0.34533488192024775	0.22988658065866188	0.34533488192024775	0.2748099021915472	0.2748099021915473		34	multiclass_domain	reading_time	student_essays
0.3515292295780101	0.23422353024464737	0.3515292295780101	0.2803173074102318	0.2803173074102318		35	multiclass_domain	reading_time	student_essays
0.33952768099109565	0.22558441621861833	0.33952768099109565	0.26990550667970026	0.26990550667970026		36	multiclass_domain	reading_time	student_essays
0.33875338753387535	0.22555499742716423	0.3387533875338753	0.2694072110461611	0.26940721104616105		37	multiclass_domain	reading_time	student_essays
0.3356562137049942	0.22405300927353855	0.33565621370499416	0.2668949365484152	0.2668949365484152		38	multiclass_domain	reading_time	student_essays
0.34959349593495936	0.23298191426215129	0.34959349593495936	0.27888646547780366	0.2788864654778037		39	multiclass_domain	reading_time	student_essays
0.3240418118466899	0.21625094357900201	0.3240418118466899	0.2586356146096243	0.2586356146096243		40	multiclass_domain	reading_time	student_essays
0.3519163763066202	0.23468603653843645	0.3519163763066202	0.28025736507707416	0.28025736507707416		41	multiclass_domain	reading_time	student_essays
0.33991482771970577	0.22709148071466911	0.33991482771970577	0.271299460773145	0.271299460773145		42	multiclass_domain	reading_time	student_essays
0.34843205574912894	0.2320258743672249	0.3484320557491289	0.27781890064983766	0.27781890064983766		43	multiclass_domain	reading_time	student_essays
0.3426248548199768	0.3713229642205453	0.3426248548199768	0.2746845118292955	0.27468451182929554		44	multiclass_domain	reading_time	student_essays
0.3464963221060782	0.2318132604292542	0.3464963221060782	0.2763938315539739	0.27639383155397396		45	multiclass_domain	reading_time	student_essays
0.3581107239643825	0.23919399478809714	0.3581107239643824	0.2860186753253921	0.2860186753253921		46	multiclass_domain	reading_time	student_essays
0.3356562137049942	0.22370420976258187	0.33565621370499416	0.2672519512504301	0.26725195125043005		47	multiclass_domain	reading_time	student_essays
0.3437862950058072	0.22867184778393443	0.3437862950058072	0.272857319297022	0.272857319297022		48	multiclass_domain	reading_time	student_essays
0.34688346883468835	0.23099558874912648	0.3468834688346883	0.2765406186142603	0.2765406186142603		49	multiclass_domain	reading_time	student_essays
0.3526906697638405	0.2352205836913314	0.3526906697638405	0.28062179173241913	0.2806217917324191		50	multiclass_domain	reading_time	student_essays
0.36546651180797524	0.24405753155802626	0.3654665118079752	0.2916381578871203	0.2916381578871203		51	multiclass_domain	reading_time	student_essays
0.3430120015485869	0.22905343637315423	0.3430120015485869	0.27363093364591135	0.2736309336459113		52	multiclass_domain	reading_time	student_essays
0.34610917537746805	0.2304434118127928	0.34610917537746805	0.2750618905292395	0.27506189052923946		53	multiclass_domain	reading_time	student_essays
0.34068912117692607	0.22708397550469084	0.34068912117692607	0.2714797891545561	0.27147978915455606		54	multiclass_domain	reading_time	student_essays
0.34959349593495936	0.2328849605365375	0.34959349593495936	0.278518933915764	0.278518933915764		55	multiclass_domain	reading_time	student_essays
0.3604336043360434	0.24065126283568508	0.3604336043360434	0.28793983032627907	0.28793983032627907		56	multiclass_domain	reading_time	student_essays
0.34068912117692607	0.22709446999707114	0.34068912117692607	0.2710175357349395	0.2710175357349395		57	multiclass_domain	reading_time	student_essays
0.3437862950058072	0.22919479447944793	0.3437862950058072	0.27373339628060456	0.27373339628060456		58	multiclass_domain	reading_time	student_essays
0.35578784359272164	0.23715394130536013	0.3557878435927216	0.2831835058911156	0.28318350589111563		59	multiclass_domain	reading_time	student_essays
0.34494773519163763	0.22986053422972652	0.3449477351916377	0.2754231848309785	0.2754231848309785		60	multiclass_domain	reading_time	student_essays
0.35578784359272164	0.23667067658209393	0.3557878435927216	0.2833507257540547	0.2833507257540547		61	multiclass_domain	reading_time	student_essays
0.34417344173441733	0.22940845933378054	0.34417344173441733	0.27370346308282184	0.27370346308282184		62	multiclass_domain	reading_time	student_essays
0.3430120015485869	0.22856943780856823	0.3430120015485869	0.27325990180762316	0.27325990180762316		63	multiclass_domain	reading_time	student_essays
0.3554006968641115	0.2376427797870819	0.3554006968641115	0.2833115490401858	0.2833115490401858		64	multiclass_domain	reading_time	student_essays
0.33991482771970577	0.35196037590556717	0.3399148277197057	0.29762666971694063	0.2976266697169406		65	multiclass_domain	reading_time	student_essays
0.35772357723577236	0.238812280566435	0.35772357723577236	0.28498569713648453	0.28498569713648453		66	multiclass_domain	reading_time	student_essays
0.34765776229190865	0.23185213479331127	0.34765776229190865	0.2774349546138537	0.2774349546138537		67	multiclass_domain	reading_time	student_essays
0.35578784359272164	0.23645198863486006	0.3557878435927217	0.2828484769218313	0.28284847692183135		68	multiclass_domain	reading_time	student_essays
0.35772357723577236	0.23906975510095782	0.35772357723577236	0.2851530022060942	0.2851530022060942		69	multiclass_domain	reading_time	student_essays
0.3515292295780101	0.23425708695762645	0.3515292295780101	0.2805456612353164	0.28054566123531643		70	multiclass_domain	reading_time	student_essays
0.35578784359272164	0.2370145376510641	0.3557878435927217	0.28387661278191473	0.28387661278191473		71	multiclass_domain	reading_time	student_essays
0.34881920247773907	0.31610806077281195	0.34881920247773907	0.27899716524349033	0.27899716524349033		72	multiclass_domain	reading_time	student_essays
0.34068912117692607	0.3656271106562711	0.34068912117692607	0.27426019021771386	0.2742601902177139		73	multiclass_domain	reading_time	student_essays
0.35423925667828104	0.2363685762606312	0.35423925667828104	0.28230469803964847	0.2823046980396485		74	multiclass_domain	reading_time	student_essays
0.3499806426635695	0.3000689638918179	0.3499806426635695	0.28104696811664437	0.28104696811664437		75	multiclass_domain	reading_time	student_essays
0.3333333333333333	0.22139277402775356	0.3333333333333333	0.2650185654554431	0.2650185654554431		76	multiclass_domain	reading_time	student_essays
0.35501355013550134	0.23618828713407516	0.35501355013550134	0.2820902092315853	0.2820902092315853		77	multiclass_domain	reading_time	student_essays
0.3422377080913666	0.22792548741329888	0.3422377080913666	0.27241686918805613	0.27241686918805613		78	multiclass_domain	reading_time	student_essays
0.33062330623306235	0.21990900493315954	0.33062330623306235	0.26318827371458947	0.2631882737145895		79	multiclass_domain	reading_time	student_essays
0.34688346883468835	0.28668857671533793	0.3468834688346883	0.2773581834974037	0.2773581834974037		80	multiclass_domain	reading_time	student_essays
0.35578784359272164	0.35691773674194865	0.3557878435927216	0.2891187948050818	0.28911879480508185		81	multiclass_domain	reading_time	student_essays
0.3445605884630275	0.22999259512417405	0.34456058846302745	0.27467771135019636	0.27467771135019636		82	multiclass_domain	reading_time	student_essays
0.3511420828493999	0.23459715639810427	0.3511420828493999	0.27986934113471074	0.27986934113471074		83	multiclass_domain	reading_time	student_essays
0.3341076267905536	0.22183354947330103	0.3341076267905536	0.26559457449632334	0.26559457449632334		84	multiclass_domain	reading_time	student_essays
0.3430120015485869	0.22861036117274572	0.3430120015485869	0.2735239542367597	0.2735239542367597		85	multiclass_domain	reading_time	student_essays
0.33681765389082463	0.22410236822001528	0.3368176538908246	0.26841233435270134	0.26841233435270134		86	multiclass_domain	reading_time	student_essays
0.3410762679055362	0.22774504767421946	0.3410762679055362	0.27228373451839366	0.27228373451839366		87	multiclass_domain	reading_time	student_essays
0.34843205574912894	0.23198576651143377	0.3484320557491289	0.2772147687281898	0.2772147687281898		88	multiclass_domain	reading_time	student_essays
0.34494773519163763	0.2294753474929949	0.3449477351916377	0.27403294343558443	0.2740329434355845		89	multiclass_domain	reading_time	student_essays
0.3418505613627565	0.22756699789220117	0.3418505613627565	0.2718941663100842	0.2718941663100842		90	multiclass_domain	reading_time	student_essays
0.34494773519163763	0.32735979331053083	0.34494773519163763	0.3053714845699646	0.30537148456996455		91	multiclass_domain	reading_time	student_essays
0.33991482771970577	0.22668863275317216	0.33991482771970577	0.2709870938133525	0.2709870938133525		92	multiclass_domain	reading_time	student_essays
0.34765776229190865	0.23107896205243503	0.34765776229190865	0.27637822468447765	0.27637822468447765		93	multiclass_domain	reading_time	student_essays
0.34959349593495936	0.23304297328687573	0.34959349593495936	0.27882860461257675	0.27882860461257675		94	multiclass_domain	reading_time	student_essays
0.3464963221060782	0.23147607352468	0.3464963221060782	0.2762865274955397	0.2762865274955397		95	multiclass_domain	reading_time	student_essays
0.34765776229190865	0.34288986478140865	0.3476577622919086	0.27841869199402053	0.2784186919940205		96	multiclass_domain	reading_time	student_essays
0.34339914827719703	0.228820926720547	0.34339914827719703	0.27338584958620815	0.27338584958620815		97	multiclass_domain	reading_time	student_essays
0.3445605884630275	0.22940620634319395	0.34456058846302745	0.27419052966498225	0.27419052966498225		98	multiclass_domain	reading_time	student_essays
0.3492063492063492	0.23380520600514829	0.34920634920634924	0.2787725778860819	0.27877257788608184		99	multiclass_domain	reading_time	student_essays
0.9521276595744681	0.9554263565891472	0.9521276595744681	0.9520408163265306	0.9520408163265306	0.9737579221367134	0	binary_domain	reading_time	arxiv_papers
0.9654255319148937	0.9676616915422885	0.9654255319148937	0.9653841523437223	0.9653841523437223	0.981425418741512	1	binary_domain	reading_time	arxiv_papers
0.9627659574468085	0.9653465346534653	0.9627659574468085	0.9627142654766965	0.9627142654766965	0.9810293119058398	2	binary_domain	reading_time	arxiv_papers
0.9627659574468085	0.9653465346534653	0.9627659574468085	0.9627142654766965	0.9627142654766965	0.9896729289271163	3	binary_domain	reading_time	arxiv_papers
0.9601063829787234	0.962316986496091	0.9601063829787233	0.9600586373196796	0.9600586373196796	0.9739701222272522	4	binary_domain	reading_time	arxiv_papers
0.973404255319149	0.9747474747474747	0.9734042553191489	0.97338542993856	0.9733854299385599	0.9911583295608873	5	binary_domain	reading_time	arxiv_papers
0.9601063829787234	0.9630541871921182	0.9601063829787234	0.9600427910535525	0.9600427910535526	0.9671655726573111	6	binary_domain	reading_time	arxiv_papers
0.9574468085106383	0.9599977239103221	0.9574468085106382	0.9573877319733674	0.9573877319733672	0.9853440470801268	7	binary_domain	reading_time	arxiv_papers
0.9680851063829787	0.9694132334581773	0.9680851063829787	0.9680625159262719	0.968062515926272	0.9882299683114532	8	binary_domain	reading_time	arxiv_papers
0.9680851063829787	0.97	0.9680851063829787	0.9680525659907103	0.9680525659907103	0.9930115436849254	9	binary_domain	reading_time	arxiv_papers
0.9627659574468085	0.9653465346534653	0.9627659574468085	0.9627142654766965	0.9627142654766965	0.9937188773200543	10	binary_domain	reading_time	arxiv_papers
0.9601063829787234	0.9630541871921182	0.9601063829787234	0.9600427910535525	0.9600427910535526	0.988909008601177	11	binary_domain	reading_time	arxiv_papers
0.9601063829787234	0.962316986496091	0.9601063829787233	0.9600586373196796	0.9600586373196796	0.9805058850158443	12	binary_domain	reading_time	arxiv_papers
0.9601063829787234	0.9630541871921182	0.9601063829787234	0.9600427910535525	0.9600427910535526	0.9833918062471707	13	binary_domain	reading_time	arxiv_papers
0.9574468085106383	0.9607843137254901	0.9574468085106382	0.9573696145124717	0.9573696145124716	0.9834766862833862	14	binary_domain	reading_time	arxiv_papers
0.9574468085106383	0.9607843137254901	0.9574468085106382	0.9573696145124717	0.9573696145124716	0.9879187415119963	15	binary_domain	reading_time	arxiv_papers
0.9601063829787234	0.962316986496091	0.9601063829787233	0.9600586373196796	0.9600586373196796	0.9785819375282934	16	binary_domain	reading_time	arxiv_papers
0.9547872340425532	0.9585365853658536	0.9547872340425532	0.9546946210494234	0.9546946210494235	0.9763467632412857	17	binary_domain	reading_time	arxiv_papers
0.9521276595744681	0.9563106796116505	0.9521276595744681	0.9520176956016221	0.9520176956016221	0.9789214576731552	18	binary_domain	reading_time	arxiv_papers
0.9680851063829787	0.97	0.9680851063829787	0.9680525659907103	0.9680525659907103	0.986716274332277	19	binary_domain	reading_time	arxiv_papers
0.9627659574468085	0.9653465346534653	0.9627659574468085	0.9627142654766965	0.9627142654766965	0.9965906518786781	20	binary_domain	reading_time	arxiv_papers
0.9441489361702128	0.9497607655502392	0.9441489361702128	0.9439741724908646	0.9439741724908647	0.9732769352648257	21	binary_domain	reading_time	arxiv_papers
0.9468085106382979	0.9509423186750429	0.9468085106382979	0.9466863284462468	0.9466863284462468	0.9746350158442734	22	binary_domain	reading_time	arxiv_papers
