experiment	feature_set	domain	class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std
binary_domain	readability	house_of_commons	human	0.9189502347976195	0.009502670710216305	0.9317675941080197	0.010208218133844729	0.9252607278729738	0.006841378044583058
binary_domain	readability	house_of_commons	llm	0.930896985152145	0.009564965842179968	0.9177086743044189	0.01053017642461084	0.924199084711309	0.00695941013625883
binary_domain	readability	student_essays	human	0.8883795535755306	0.006001709871091634	0.8392059553349875	0.006849754370907106	0.8630674497613501	0.004453050784221245
binary_domain	readability	student_essays	llm	0.8476677659823632	0.0053991224877928765	0.8945119933829611	0.0064916388702109164	0.8704395435974503	0.004137955276723949
binary_domain	reading_time	arxiv_papers	human	0.9977113552062125	0.002936457607155206	0.9238297872340425	0.016000014861144225	0.9592767397384047	0.00872229620754259
binary_domain	reading_time	arxiv_papers	llm	0.9292853111421903	0.013841928082852692	0.997872340425532	0.0027259082084603137	0.962303559248977	0.007513914870358805
binary_domain	reading_time	blog_authorship_corpus	human	0.5119831874357731	0.014736195016828057	0.34103825136612026	0.01632656923397255	0.40925910013228983	0.015319709841785278
binary_domain	reading_time	blog_authorship_corpus	llm	0.5060264329323035	0.007406175213138718	0.6749908925318762	0.014421694575361165	0.5783777100999643	0.008972922456129764
binary_domain	reading_time	cnn_news	human	0.5921195975581256	0.009820018492775001	0.5015749465850687	0.014735302271555294	0.5430098043183809	0.01121788591120886
binary_domain	reading_time	cnn_news	llm	0.5677492853602136	0.007578223166227894	0.6544883816052437	0.012775610496457621	0.6079868003897071	0.008208631828529961
binary_domain	reading_time	euro_court_cases	human	0.7173967732540748	0.020420029509374767	0.5273913043478261	0.02323486903111259	0.6076310869696335	0.01937124497138839
binary_domain	reading_time	euro_court_cases	llm	0.6264110782180144	0.01258386407246002	0.7920048309178743	0.019417667134611714	0.6994360622800779	0.012875039235889169
binary_domain	reading_time	house_of_commons	human	0.7296028675317058	0.021535063631542097	0.4051718494271686	0.016919875437165322	0.5207706085701124	0.016163958489658087
binary_domain	reading_time	house_of_commons	llm	0.5882041404581848	0.007716699952300077	0.8495253682487726	0.01588986401274547	0.6950668276515599	0.009133333489037833
binary_domain	reading_time	student_essays	human	0.514688722930471	0.007085404135318473	0.44469809760132345	0.008283420948599721	0.4771190409934599	0.007216864790519381
binary_domain	reading_time	student_essays	llm	0.5111667225953808	0.005376168857167517	0.5806741108354011	0.008595635909343296	0.5436938805124825	0.006323296163774768
binary_domain	structure	arxiv_papers	human	0.8925300062197539	0.021510150396657046	0.7995744680851063	0.027508306960223158	0.843174793193882	0.01917142831211126
binary_domain	structure	arxiv_papers	llm	0.8188505155451723	0.02049668521713968	0.9032978723404256	0.021680825860325968	0.8587838127108737	0.016032317904552226
