experiment	feature_set	domain	accuracy_mean	accuracy_std	precision_macro_mean	precision_macro_std	recall_macro_mean	recall_macro_std	f1_macro_mean	f1_macro_std	f1_weighted_mean	f1_weighted_std	roc_auc_mean	roc_auc_std
multiclass_domain	readability	house_of_commons	0.7511507936507936	0.011219239554835978	0.7474477449572962	0.012228862696643559	0.7511507936507936	0.011219239554835985	0.744583079339802	0.011909118536873877	0.744583079339802	0.01190911853687387		
multiclass_domain	readability	student_essays	0.6598373983739837	0.007444581751594563	0.6549096547219658	0.0077324166475707355	0.6598373983739837	0.007444581751594574	0.6561518354612785	0.007598168358969325	0.6561518354612785	0.007598168358969324		
multiclass_domain	reading_time	arxiv_papers	0.7887056737588652	0.015952580627283493	0.7963030667080437	0.015297738074095766	0.7887056737588652	0.01595258062728349	0.7894743541080896	0.015729332385856953	0.7894743541080897	0.015729332385856973		
multiclass_domain	reading_time	blog_authorship_corpus	0.36090556274256147	0.013523079289339471	0.2811433030636201	0.060215506459386954	0.36085115474718227	0.013571947524120042	0.2827364711635712	0.012185477111951884	0.28277668774496295	0.012208868465169007		
multiclass_domain	reading_time	cnn_news	0.43682901554404147	0.007966438362298014	0.3859987087662112	0.03912838920206772	0.4368435355750252	0.007962505828031603	0.3503809343867868	0.006852578120428837	0.35037190467787593	0.006870302648353185		
multiclass_domain	reading_time	euro_court_cases	0.47611620795107035	0.013163776108776793	0.4416118094454251	0.022461276597863296	0.47611620795107035	0.013163776108776792	0.4181539626516302	0.013427872876553592	0.4181539626516302	0.013427872876553587		
multiclass_domain	reading_time	house_of_commons	0.4008531746031746	0.013907357907364927	0.38139365331433905	0.01650867784541999	0.4008531746031746	0.013907357907364927	0.3743940769067844	0.014267432760467231	0.3743940769067844	0.014267432760467224		
multiclass_domain	reading_time	student_essays	0.3458265582655827	0.0071895321660179895	0.240494761960086	0.03206426681010443	0.3458265582655827	0.007189532166017989	0.27626274877761975	0.006962828775506114	0.2762627487776198	0.006962828775506113		
multiclass_domain	structure	arxiv_papers	0.5870390070921986	0.017388884392924426	0.5806417891461595	0.026982210005838555	0.5870390070921986	0.017388884392924422	0.5360157353011331	0.017023902910126502	0.5360157353011331	0.01702390291012648		
multiclass_domain	structure	blog_authorship_corpus	0.3948512289780078	0.01253115582521991	0.38402360303163424	0.03573556234647246	0.39490528760594823	0.012489665909157403	0.33351901238728565	0.015639084603885963	0.3334881968325874	0.015692700230318206		
multiclass_domain	structure	cnn_news	0.4304611398963731	0.010947366260844443	0.4261261446006867	0.01149777497076494	0.43045570388544896	0.010936496187382239	0.422723171440189	0.011039784760302577	0.42272668560309923	0.011045907556515307		
multiclass_domain	structure	euro_court_cases	0.5463455657492355	0.01250487165518551	0.520897691439447	0.03309066325292031	0.5463455657492355	0.012504871655185509	0.46997072678309393	0.01339894691608796	0.46997072678309393	0.013398946916087964		
multiclass_domain	structure	house_of_commons	0.4334722222222222	0.0157981967823471	0.4154144454767752	0.02536775999939384	0.4334722222222222	0.015798196782347097	0.39584756107640906	0.02069973554425979	0.39584756107640906	0.020699735544259797		
multiclass_domain	structure	student_essays	0.47266744096012386	0.008564998583582456	0.4486449923506787	0.024354066884250763	0.47266744096012386	0.008564998583582452	0.40661309257132183	0.014488840762521915	0.40661309257132183	0.01448884076252192		
multiclass_domain	syntax	arxiv_papers	0.9609219858156028	0.007920984899573625	0.9610407524436408	0.0079117039325776	0.9609219858156028	0.007920984899573623	0.9608691181177238	0.00793145311986575	0.9608691181177238	0.007931453119865746		
multiclass_domain	syntax	blog_authorship_corpus	0.6453816300129367	0.015178466415705203	0.6441353428852865	0.01489884356684742	0.6453668345750511	0.0151835875620018	0.6434981438373311	0.01504915829498741	0.6435084498624061	0.015045398714497856		
multiclass_domain	syntax	cnn_news	0.899238341968912	0.006274687483561635	0.8991827212177887	0.0062766143285013344	0.8992352585093812	0.006274853525440514	0.8990816958851429	0.006275433273496598	0.8990841655171846	0.006274744368079791		
multiclass_domain	syntax	euro_court_cases	0.9624006116207952	0.00710936512812138	0.9624703880906016	0.007111243373857522	0.9624006116207952	0.0071093651281213905	0.9623447565354336	0.0071194730894971366	0.9623447565354336	0.007119473089497135		
multiclass_domain	syntax	house_of_commons	0.9094246031746032	0.009351669859092781	0.9093597243040628	0.00939100005818144	0.9094246031746032	0.009351669859092764	0.9092613485863432	0.009369458075500693	0.9092613485863431	0.009369458075500707		
multiclass_domain	syntax	student_essays	0.8487533875338754	0.0070487933693585	0.8482472427945903	0.0070458032946632675	0.8487533875338754	0.007048793369358492	0.8483940265995149	0.007030379645430598	0.8483940265995149	0.007030379645430613		
